pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,25000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1423612800,104.08-156.12,0,0,1425237238,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,767637,25000,0,15612,10408,1,1,1,0,0,1,0,1.3122e+09,0,0,767637
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,128.79-131.40,0,0,1425232734,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,13140,12879,1,1,1,0,0,1,0,1.3122e+09,0,0,99999999
6543,EQ,nse_cm,,GRPLTD,GRPLTD-EQ,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2270.20-2774.65,0,0,1425237237,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,39642,1,0,277465,227020,1,1,1,0,0,1,0,5.33333e+06,0,0,39642
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,142.92-174.68,0,0,1425237238,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,628804,1,0,17468,14292,1,1,1,0,0,1,0,2.8582e+09,0,0,628804
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,1411516800,1412035200,0,7.95-11.85,0,0,1425237237,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,7871053,11250,0,1185,795,1,1,1,0,0,1,0,2.40705e+08,0,0,7871053
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2497.25-2547.65,0,0,1425232703,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,254765,249725,1,1,1,0,0,1,0,5.33333e+06,0,0,99999999
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1406419200,338.40-413.60,0,0,1425237237,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,265726,1,0,41360,33840,1,1,1,0,0,1,0,3.62519e+08,0,0,265726
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,157.21-160.38,0,0,1425232703,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,16038,15721,1,1,1,0,0,1,0,2.8582e+09,0,0,99999999
6556,SG,nse_cm,,694AS31,694AS31-SG,,694AS31-SG,IN1220210125,,,,SDL AS 6.94% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1425228718,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6557,SG,nse_cm,,692RJ31,692RJ31-SG,,692RJ31-SG,IN2920210373,,,,SDL RJ 6.92% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1425228718,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6558,SG,nse_cm,,693UP31,693UP31-SG,,693UP31-SG,IN3320210153,,,,SDL UP 6.93% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1425228718,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,2.5e+08,0,0,1000000
13400,EQ,nse_cm,,BHAGERIA,BHAGERIA-EQ,,BHAGERIA,INE354C01027,,,,BHAGERIA INDUSTRIES LTD,,,1,1,-1,-1,2,-1,NSE,,,1141344000,,1141344000,0,0,1408924800,1409529600,0,124.72-187.08,0,0,1425237237,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,641394,1,0,18708,12472,1,1,1,0,0,1,0,4.36442e+07,0,0,641394
13401,SG,nse_cm,,767WB41,767WB41-SG,,767WB41-SG,IN3420220201,,,,SDL WB 7.67% 2041,,,1,100,-1,-1,2,-1,NSE,,,1356825600,,1356825600,0,0,0,0,0,95.00-105.00,0,0,1425228719,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000
13404,EQ,nse_cm,,SUNTV,SUNTV-EQ,,SUNTV,INE424H01027,,,,SUN TV NETWORK LIMITED,,,5,1,-1,-1,2,-1,NSE,,,830304000,,830304000,0,0,0,0,1423872000,449.20-673.80,0,0,1425237238,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,177732,1,0,67380,44920,1,1,1,0,0,1,0,3.94085e+08,0,0,177732
13406,BL,nse_cm,,SUNTV,SUNTV-BL,,SUNTV-BL,INE424H01027,,,,SUN TV NETWORK LIMITED,,,5,1,-1,-1,2,-1,NSE,,,830304000,,830304000,0,0,0,0,1423872000,555.90-567.10,0,0,1425232711,,,,,,,,,,CASH,,,,,500,,,,,,,,T+1,315513000,0,1,0,1,0,56710,55590,1,1,1,0,0,1,0,3.94085e+08,0,0,99999999
13409,EQ,nse_cm,,GPIL,GPIL-EQ,,GPIL,INE177H01039,,,,GODAWARI POW & ISP LTD,,,1,1,-1,-1,2,-1,NSE,,,830390400,,830390400,0,0,0,0,1412467200,124.60-186.90,0,0,1425237237,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,641546,1,0,18690,12460,1,1,1,0,0,1,0,6.68975e+08,0,0,641546
6563,SG,nse_cm,,70AP38A,70AP38A-SG,,70AP38A-SG,IN1020210390,,,,SDL AP 7.0% 2038,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1425228718,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6564,SG,nse_cm,,70AP39B,70AP39B-SG,,70AP39B-SG,IN1020210408,,,,SDL AP 7.0% 2039,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1425228718,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6568,EQ,nse_cm,,LAXMICOT,LAXMICOT-EQ,,LAXMICOT,INE801V01019,,,,LAXMI COTSPIN LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,1411344000,1411862400,0,17.96-26.94,0,0,1425237238,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,560728,1,0,2694,1796,1,1,1,0,0,1,0,1.71477e+07,0,0,560728
